drug_id,name,generic_name,drug_class,indications,description,side_effects,contraindications
D030,Tramadol,tramadol hydrochloride,Opioid analgesic (atypical),"moderate to moderately severe pain","Tramadol is a centrally acting analgesic with weak mu-opioid agonism and serotonin/norepinephrine reuptake inhibition.","nausea, dizziness, constipation, serotonin syndrome risk, seizures, dependence","concurrent MAOI use, severe respiratory depression, acute alcohol intoxication, seizure disorder"
D031,Duloxetine,duloxetine hydrochloride,SNRI,"major depressive disorder, generalized anxiety disorder, diabetic neuropathic pain, fibromyalgia, chronic musculoskeletal pain","Duloxetine is a serotonin-norepinephrine reuptake inhibitor used for depression, anxiety, and several chronic pain syndromes including diabetic neuropathy.","nausea, dry mouth, somnolence, dizziness, hepatotoxicity, hypertension","MAOI use, uncontrolled narrow-angle glaucoma, severe hepatic impairment"
D032,Pregabalin,pregabalin,Anticonvulsant / neuropathic pain agent,"diabetic peripheral neuropathy, postherpetic neuralgia, fibromyalgia, partial seizures","Pregabalin is similar to gabapentin and is used for neuropathic pain, fibromyalgia, and as an anticonvulsant.","dizziness, somnolence, peripheral edema, weight gain, blurred vision","known hypersensitivity"
D033,Rosuvastatin,rosuvastatin calcium,Statin,"hyperlipidemia, atherosclerotic cardiovascular disease prevention","Rosuvastatin is a potent statin lowering LDL cholesterol and reducing cardiovascular events.","muscle pain, elevated liver enzymes, headache, diabetes risk, rare rhabdomyolysis","active liver disease, pregnancy, breastfeeding"
D034,Sitagliptin,sitagliptin phosphate,DPP-4 inhibitor,"type 2 diabetes mellitus","Sitagliptin is a DPP-4 inhibitor that increases incretin levels to improve glycemic control in type 2 diabetes.","upper respiratory infection, headache, pancreatitis (rare), joint pain","history of severe hypersensitivity, type 1 diabetes, diabetic ketoacidosis"
D035,Empagliflozin,empagliflozin,SGLT2 inhibitor,"type 2 diabetes, heart failure with reduced ejection fraction, chronic kidney disease","Empagliflozin lowers blood glucose by promoting urinary glucose excretion and has cardiovascular and renal protective benefits.","urinary tract infection, genital mycotic infection, volume depletion, ketoacidosis","severe renal impairment, type 1 diabetes, dialysis"
D036,Aspirin,aspirin (acetylsalicylic acid),NSAID / antiplatelet,"pain, fever, inflammation, cardiovascular event prevention (low dose), acute coronary syndrome","Aspirin is an NSAID and irreversible platelet inhibitor used for pain, fever, and at low dose for cardiovascular event prevention.","GI bleeding, gastric ulcer, tinnitus, Reye's syndrome in children with viral illness","children under 16 with viral illness, active bleeding, severe asthma, hemophilia"
D037,Loratadine,loratadine,Second-generation antihistamine,"seasonal allergic rhinitis, chronic urticaria","Loratadine is a non-sedating second-generation antihistamine for allergic rhinitis and chronic hives.","headache, dry mouth, fatigue, occasional drowsiness","known hypersensitivity"
D038,Escitalopram,escitalopram oxalate,SSRI antidepressant,"major depressive disorder, generalized anxiety disorder","Escitalopram is the active S-enantiomer of citalopram, used for depression and generalized anxiety disorder.","nausea, insomnia, sexual dysfunction, drowsiness, sweating","MAOI use, concurrent pimozide"
D039,Naproxen,naproxen sodium,NSAID,"pain, inflammation, arthritis, menstrual cramps, gout","Naproxen is a longer-acting NSAID for pain and inflammation including arthritis and acute gout.","stomach upset, GI bleeding, kidney impairment, hypertension, edema","peptic ulcer, severe heart failure, third-trimester pregnancy"
D040,Methylphenidate,methylphenidate hydrochloride,CNS stimulant,"attention deficit hyperactivity disorder, narcolepsy","Methylphenidate is a CNS stimulant used for ADHD and narcolepsy. Schedule II controlled substance.","appetite loss, insomnia, increased heart rate, anxiety, dependence","glaucoma, severe anxiety, recent MAOI use, hyperthyroidism"
